mubi_label,english_label,french_label
Saint Lucia for Best International Documentary Short Film,Best Short Film,Meilleur court métrage
San Diego Film Critics Society Awards 2017 Nominee SDFCS Award	Best Documentary (Audience Award),Critics Award,Prix de la critique
San Sebastian Audience Award,Audience Award,Prix du public
SCAM Award,Festival Award,Prix du festival
Scandinavian Locations Award,Festival Award,Prix du festival
Scotiabank Docs For Schools Student’s Choice Award,Festival Award,Prix du festival
Screenplay of the Year,Best Screenplay,Meilleur scénario
Screenwriter of the Year,Best Screenplay,Meilleur scénario
Script - Film,Best Screenplay,Meilleur scénario
Script Film,Best Screenplay,Meilleur scénario
Scriptwriter Film,Best Screenplay,Meilleur scénario
Sebastiane Award,Festival Award,Prix du festival
Sebastiane Award	- Best Film,Best Film,Meilleur film
Sélection Officielle,Other,Autre
Semaine de la critique,Critics Award,Prix de la critique
Seminci Youth Award,Other,Autre
SFCS Award - Best Youth Performance,Best Promising Actor,Meilleur espoir masculin
SFFCC Award	- Best Actor,Best Actor,Meilleur acteur
SFFCC Award	- Best Foreign-Language Film,Best Foreign Film,Meilleur film étranger
SFFCC Award - Best Cinematography,Best Cinematography,Meilleure photographie
SFFCC Award - Best Documentary,Best Documentary,Meilleur documentaire
SFFCC Award - Best Film Editing,Best Film,Meilleur film
SFFCC Award - Best Foreign Language Picture,Best Foreign Film,Meilleur film étranger
SFFCC Award - Best Foreign-Language Film,Best Foreign Film,Meilleur film étranger
"SFFCC Award - Best Screenplay, Original",Best Screenplay,Meilleur scénario
SFFCC Award - Best Supporting Actor,Best Supporting Actor,Meilleur acteur dans un second rôle
Sheffield Student Doc Award,Audience Award,Prix du public
Short Cuts,Best Short Film,Meilleur court métrage
Short Cuts Award - Best International Short Film,Best Short Film,Meilleur court métrage
Short Doc Award,Best Documentary,Meilleur documentaire
Short Documentary Award,Best Documentary,Meilleur documentaire
Short Film,Best Short Film,Meilleur court métrage
Short Film (Audience Award),Audience Award,Prix du public
Short Film Jury Award - Animation,Best Animated Short Film,Meilleur court métrage d’animation
Short Film Special Jury Prize for Acting,Jury Award,Prix du jury
Short Listed,Jury Award,Prix du jury
Shorts Animation Competition (Jury Prize),Jury Award,Prix du jury
Sichtwechsel Film Award,Festival Award,Prix du festival
SIGNIS Award,Festival Award,Prix du festival
SIGNIS Award for Best Short Fiction (International),Best Short Film,Meilleur court métrage
Silver Ariel - Best Latin-American Film,Best Regional Film,Meilleur film par région
Silver Bear 70th Berlinale,Festival Award,Prix du festival
Silver Bear for Best Actor,Best Actor,Meilleur acteur
Silver Condor - Best Cinematography,Best Cinematography,Meilleure photographie
Silver Condor - Best Director,Best Director,Meilleur réalisateur
Silver Condor - Best Film,Best Film,Meilleur film
"Silver Condor - Best Foreign Film, Not in the Spanish Language",Best Foreign Film,Meilleur film étranger
"Silver Condor - Best Foreign Film, Spanish Language",Best Foreign Film,Meilleur film étranger
Silver Condor - Best Music,Best Music,Meilleure musique
Silver Condor - Best New Actor,Best Promising Actor,Meilleur espoir masculin
"Silver Condor - Best Screenplay, Original",Best Screenplay,Meilleur scénario
Silver Condor - Best Sound,Best Sound,Meilleur son
Silver Condor - Best Supporting Actor,Best Supporting Actor,Meilleur acteur dans un second rôle
Silver Condor - Best Supporting Actress,Best Supporting Actress,Meilleure actrice dans un second rôle
Silver Dove (International Competition Animated Film),Best Animated Film,Meilleur film d’animation
Silver Frog,Festival Award,Prix du festival
Silver Frog - Main Competition,Festival Award,Prix du festival
Silver Frog (Main Competition),Festival Award,Prix du festival
Silver Horn Award,Festival Award,Prix du festival
Silver Hugo,Festival Award,Prix du festival
Silver Hugo - Best Actor,Best Actor,Meilleur acteur
Silver Hugo - Best Cinematography,Best Cinematography,Meilleure photographie
Silver Hugo - Best Director,Best Director,Meilleur réalisateur
Silver Hugo - Best Feature Film,Best Feature,Meilleur long métrage
Silver Hugo - Best Screenplay,Best Screenplay,Meilleur scénario
Silver Hugo - Jury Prize,Jury Award,Prix du jury
Silver Hugo (Special Jury Prize),Jury Award,Prix du jury
Silver Hugo for Best Ensemble Cast Performance,Best Ensemble,Meilleure distribution
Silver Lion,Festival Award,Prix du festival
Silver Mouse,Festival Award,Prix du festival
Silver Plaque - Best Art Direction,Best Production Design,Meilleure direction artistique
Silver Q-Hugo,Festival Award,Prix du festival
Silver Ribbon - Best Actor,Best Actor,Meilleur acteur
Silver Ribbon - Best Cinematography,Best Cinematography,Meilleure photographie
Silver Ribbon - Best Costume Design,Best Costume Design,Meilleurs costumes
Silver Ribbon - Best Director,Best Director,Meilleur réalisateur
Silver Ribbon - Best Editing,Best Editing,Meilleur montage
Silver Ribbon - Best Film,Best Film,Meilleur film
Silver Ribbon - Best Producer,Best Production Design,Meilleure direction artistique
Silver Ribbon - Best Score,Best Music,Meilleure musique
Silver Ribbon - Best Screenplay,Best Screenplay,Meilleur scénario
Silver Ribbon - Best Sound,Best Sound,Meilleur son
Silver Ribbon - Best Supporting Actor,Best Supporting Actor,Meilleur acteur dans un second rôle
Silver Ribbon - Best Supporting Actress,Best Supporting Actress,Meilleure actrice dans un second rôle
Silver Seashell - Best Leading Performance,Best Artist,Meilleur artiste
Silver Spike - Best Film,Best Film,Meilleur film
Silver Spike Feature Film,Best Feature,Meilleur long métrage
Silver Spike Short Film,Best Short Film,Meilleur court métrage
Silver Wolf (Best Short),Best Short Film,Meilleur court métrage
Silvestre Award,Festival Award,Prix du festival
Silvestre Award for Best Feature Film,Best Feature,Meilleur long métrage
Silvestre Award for Best Short Film,Best Short Film,Meilleur court métrage
SIYAD Award - Best Actor [En İyi Erkek Oyuncu],Best Actor,Meilleur acteur
SIYAD Award - Best Actress [En İyi Kadın Oyuncu],Best Actress,Meilleure actrice
SIYAD Award - Best Director [En İyi Yönetmen],Best Director,Meilleur réalisateur
SIYAD Award - Best Film [En İyi Film],Best Film,Meilleur film
SIYAD Award - Best Foreign Film [En İyi Yabancı Film],Best Foreign Film,Meilleur film étranger
SIYAD Award - Best Foreign Film [SİYAD - En İyi Yabancı Film],Best Foreign Film,Meilleur film étranger
Small Golden Rail,Festival Award,Prix du festival
Smithers Foundation Award - Collateral Award,Festival Award,Prix du festival
Smithers Foundation Award \ Ambassador of Hope\,Freedom/Peace Price,Prix pour la liberté/paix
Social,Festival Award,Prix du festival
Sociograph Award,Other,Autre
Song (Variety Artisans Award),Best Sound,Meilleur son
Sonny Bono Visionary Award,Other,Autre
Sophia - Best European Film,Best Regional Film,Meilleur film par région
Sorriso Diverso Venezia Award Best Foreign Film,Best Foreign Film,Meilleur film étranger
Sound,Best Sound,Meilleur son
Soundtrack Stars Award - Best Soundtrack,Best Music,Meilleure musique
Special Achievement Award,Special Mention,Mention spéciale
Special Award,Special Mention,Mention spéciale
Special Award (Albar),Special Mention,Mention spéciale
Special Award for the Promotion of Gender Equality - Best Film,Best Film,Meilleur film
Special Citation,Special Mention,Mention spéciale
Special Distinction Award,Special Mention,Mention spéciale
Special Honorary Award,Special Mention,Mention spéciale
Special Jury Award,Jury Award,Prix du jury
Special Jury Award - Narrative Short,Best Short Film,Meilleur court métrage
Special Jury Award - Screenwriting,Best Screenplay,Meilleur scénario
Special Jury Award [Jüri Özel Ödülü],Jury Award,Prix du jury
Special Jury Award for Cinematography (World Cinema Documentary Competition),Best Cinematography,Meilleure photographie
Special Jury Award for Ensemble Performance,Best Ensemble,Meilleure distribution
Special Jury Award for Impact for Change (World Cinema Documentary Competition),Freedom/Peace Price,Prix pour la liberté/paix
Special Jury Award in the Official Fantàstic Selection,Best Film by Genre,Meilleur film par genre
Special Jury Prize,Jury Award,Prix du jury
Special Jury Prize - Fiction Film,Best Fiction,Meilleure fiction
Special Jury Prize – International Feature Documentary,Best International Film,Meilleur film international
Special Jury Prize (Documentary),Best Documentary,Meilleur documentaire
Special Jury Prize (International),Best International Film,Meilleur film international
Special Jury Prize (Narrative Award),Best Fiction,Meilleure fiction
Special Jury Prize (Sutherland Award),Jury Award,Prix du jury
Special Jury Recognition for Unique Vision in Writing and Directing,Best Screenplay,Meilleur scénario
Special Newcomer Prize,Other,Autre
Special Presentations,Other,Autre
Special Prize of the Jury - Best Screenplay,Best Screenplay,Meilleur scénario
Special Screening,Other,Autre
Special Screenings,Other,Autre
Special Visual Effects,Best Visual Effects,Meilleurs effets spéciaux
Special Youth Jury Award for a Medium Length Film,Jury Award,Prix du jury
Spectators' Award,Audience Award,Prix du public
Spirit of the Festival Award,Festival Award,Prix du festival
Spotlight,Other,Autre
Spotlight Award,Other,Autre
Spotlight Award - Actress,Best Actress,Meilleure actrice
Spotlight Award - For outstanding collaborative vision.,Other,Autre
"Spotlight Award, Actor",Best Actor,Meilleur acteur
Spotlight on France,Best Regional Film,Meilleur film par région
SSA/Suissimage Creation Award,Other,Autre
Standard Readers Jury Prize,Jury Award,Prix du jury
Standard Readers' Jury Prize,Jury Award,Prix du jury
Streaming,Other,Autre
Streaming (Audience Award),Audience Award,Prix du public
Streaming Award,Other,Autre
Student Jury Award,Jury Award,Prix du jury
Supporting Actor,Best Supporting Actor,Meilleur acteur dans un second rôle
Supporting Actor - Film,Best Supporting Actor,Meilleur acteur dans un second rôle
Supporting Actor Film,Best Supporting Actor,Meilleur acteur dans un second rôle
Supporting Actor in Film,Best Supporting Actor,Meilleur acteur dans un second rôle
Supporting Actor of the Year,Best Supporting Actor,Meilleur acteur dans un second rôle
Supporting Actress,Best Supporting Actress,Meilleure actrice dans un second rôle
Supporting Actress - Film,Best Supporting Actress,Meilleure actrice dans un second rôle
Supporting Actress Film,Best Supporting Actress,Meilleure actrice dans un second rôle
Supporting Actress of the Year,Best Supporting Actress,Meilleure actrice dans un second rôle
Sutherland Award -,Festival Award,Prix du festival
Sutherland Award (First Feature Competition),Best First Film,Meilleur premier film
Sydney Film - Prize Best Film,Best Film,Meilleur film
Sydney Film Prize - Best Film,Best Film,Meilleur film
Sydney Film Prize (Best Film),Best Film,Meilleur film
Taiwan Film Critics Society Award,Critics Award,Prix de la critique
Technical Achievement Award,Best Technical Achievement,Meilleure contribution technique
Technical Achievement Award - Animation,Best Animated Film,Meilleur film d’animation
Technical Achievement Award - Choreography,Best Choregraphy,Meilleure chorégraphie
Technical Achievement Award - Cinematography,Best Cinematography,Meilleure photographie
Technical Achievement Award - Costume Design,Best Costume Design,Meilleurs costumes
Technical Achievement Award - Costumes,Best Costume Design,Meilleurs costumes
Technical Achievement Award - Film Editing,Best Editing,Meilleur montage
Technical Achievement Award - Makeup and Hair,Best Make-Up,Meilleur maquillage
Technical Achievement Award - Music,Best Music,Meilleure musique
Technical Achievement Award - Music & Sound,Best Music,Meilleure musique
Technical Achievement Award - Production Design,Best Production Design,Meilleure direction artistique
Technical Achievement Award - Sound Design,Best Sound,Meilleur son
Technical Achievement Award - Stunts,Other,Autre
Technical Achievement Award - Visual Effects,Best Visual Effects,Meilleurs effets spéciaux
Technical Achievement of the Year,Best Technical Achievement,Meilleure contribution technique
Technical Achievement of the Year (ALFS Award),Best Technical Achievement,Meilleure contribution technique
Technical Achievement of the Year Award - Animation,Best Technical Achievement,Meilleure contribution technique
Ted Rogers Best Feature Length Documentary,Best Documentary,Meilleur documentaire
Teddy - Best Feature Film,Best Feature,Meilleur long métrage
Télérama Press Award (National Competition),Festival Award,Prix du festival
Temps Ø People's Choice Award,Audience Award,Prix du public
Testimony on Politics,Freedom/Peace Price,Prix pour la liberté/paix
TFCA Award - Best Actor,Best Actor,Meilleur acteur
TFCA Award - Best Actress,Best Actress,Meilleure actrice
TFCA Award - Best Director,Best Director,Meilleur réalisateur
TFCA Award - Best Foreign Language Film,Best Foreign Film,Meilleur film étranger
TFCA Award - Best International Feature,Best International Film,Meilleur film international
TFCA Award - Best Picture,Best Film,Meilleur film
"TFCA Award - Best Screenplay, Adapted or Original",Best Screenplay,Meilleur scénario
TFCA Award - Best Supporting Actor,Best Supporting Actor,Meilleur acteur dans un second rôle
TFCA Award - Outstanding Lead Performance,Best Artist,Meilleur artiste
The Attenborough Award for British/Irish Film of the Year,Best Regional Film,Meilleur film par région
The BAYERN 2 and SZ Audience Award,Audience Award,Prix du public
The d’Ornano-Valenti Award,Festival Award,Prix du festival
The Founder's Award,Jury Award,Prix du jury
The Invisible Woman Award,Other,Autre
The Michael Powell Award for Best British Feature Film,Best Regional Film,Meilleur film par région
The People's Amanda,Other,Autre
The Philip French Award for Breakthrough British/Irish Filmmaker,Best Director,Meilleur réalisateur
The Philip French Award for Breakthrough British/Irish Filmmaker of the Year,Best Director,Meilleur réalisateur
The Robert R. “Bobby” McCurdy Memorial Breakthrough Artist Award,Best Artist,Meilleur artiste
The Young Francophone Jury Prize,Jury Award,Prix du jury
Thrown Under the Bus (Just Kidding Award),Other,Autre
Tim Hetherington Award,Other,Autre
Time of History Award,Other,Autre
Time of History Best Short Film,Best Short Film,Meilleur court métrage
Time of History First Prize,Best First Film,Meilleur premier film
Time of History Second Prize,Other,Autre
Tokyo Grand Prix,Festival Award,Prix du festival
Top 10 Films,Top 10 Films,Top 10 films
Top 10 Films of 2015,Top 10 Films,Top 10 films
Top 10 Films of 2021,Top 10 Films,Top 10 films
Top 10 Films of the Year,Top 10 Films,Top 10 films
Top 10 Independent Film,Top 10 Films,Top 10 films
Top 10 Independent Films,Top 10 Films,Top 10 films
Top 10 Movies of the Year,Top 10 Films,Top 10 films
Top 10 of the Year - Audience Award,Top 10 Films,Top 10 films
Top 10 of the Year - International Competition,Top 10 Films,Top 10 films
Top 12 Films,Top 10 Films,Top 10 films
Top 5 Documentaries,Best Documentary,Meilleur documentaire
Top 5 Documentary,Best Documentary,Meilleur documentaire
Top 5 Foreign Language Film,Best Foreign Film,Meilleur film étranger
Top 5 Foreign Language Films,Best Foreign Film,Meilleur film étranger
Top 5 International Films,Best International Film,Meilleur film international
Top Documentaries,Best Documentary,Meilleur documentaire
Top Film,Best Film,Meilleur film
Top Films,Best Film,Meilleur film
Top Films of the Year,Best Film,Meilleur film
Top Five Documentaries,Best Documentary,Meilleur documentaire
Top Five Foreign Language Films,Best Foreign Film,Meilleur film étranger
Top Five International Films,Best International Film,Meilleur film international
Top Foreign Films,Best Foreign Film,Meilleur film étranger
Top Short Films of the Year - National Competition,Best Short Film,Meilleur court métrage
Top Ten Films,Top 10 Films,Top 10 films
Top Ten Independent Films,Top 10 Films,Top 10 films
Top Ten of the Year - Audience Award,Top 10 Films,Top 10 films
Top Ten of the Year - International Competition,Top 10 Films,Top 10 films
Top10 Foreign Films,Top 10 Films,Top 10 films
Top10 Japanese Films,Top 10 Films,Top 10 films
Toronto Platform Prize,Festival Award,Prix du festival
Tribute Award,Special Mention,Mention spéciale
Tromsø Audience Award,Audience Award,Prix du public
Truer Than Fiction Award,Festival Award,Prix du festival
Truly Moving Picture Award,Festival Award,Prix du festival
TVE Otra Mirada Award,Festival Award,Prix du festival
U.S. Cinema,Best Regional Film,Meilleur film par région
U.S. Documentary Special Jury Award for Breakthrough Filmmaking,Best Documentary,Meilleur documentaire
U.S. Documentary Special Jury Award for Creative Vision,Best Documentary,Meilleur documentaire
U.S. Dramatic Special Jury Award for Ensemble Cast,Best Dramatic Film,Meilleur film dramatique
Un Certain Regard,Un Certain Regard,Un Certain Regard
Un Certain Regard - Best Actor,Best Actor,Meilleur acteur
Un Certain Regard - Prix d'interpretation,Best Artist,Meilleur artiste
UNIMED Award,Other,Autre
Unstoppable,Other,Autre
Vanguard Award,Other,Autre
Variety Artisans Award,Other,Autre
Variety Piazza Grande Award,Festival Award,Prix du festival
Variety Screenwriters to Watch,Other,Autre
Variety's 10 Directors to Watch,Other,Autre
Venice Days Audience Award,Audience Award,Prix du public
VFCC Award - Best Documentary,Best Documentary,Meilleur documentaire
VFCC Award - Best Foreign Language Film,Other,Autre
VFX,Best Visual Effects,Meilleurs effets spéciaux
Video,Other,Autre
Video Source Award,Other,Autre
Villain of the Year,Other,Autre
Virtual Reality,Other,Autre
Virtuoso Award,Other,Autre
Virtuosos Award,Other,Autre
Visual Effects,Best Visual Effects,Meilleurs effets spéciaux
Volpi Cup - Best Actor,Best Actor,Meilleur acteur
Volpi Cup for Best Actor,Best Actor,Meilleur acteur
Vulcain Prize For An Artist Technician,Best Technical Achievement,Meilleure contribution technique
Vulcain Prize for the Technical Artist,Best Technical Achievement,Meilleure contribution technique
VVFP Award - Best Actor,Best Actor,Meilleur acteur
VVFP Award - Best Actress,Best Actress,Meilleure actrice
VVFP Award - Best Director,Best Director,Meilleur réalisateur
VVFP Award - Best Documentary,Best Documentary,Meilleur documentaire
VVFP Award - Best Film,Best Film,Meilleur film
VVFP Award - Best First Feature,Best First Film,Meilleur premier film
VVFP Award - Best Screenplay,Best Screenplay,Meilleur scénario
VVFP Award - Best Supporting Actor,Best Supporting Actor,Meilleur acteur dans un second rôle
Wacom Public Prize,Audience Award,Prix du public
WFCC Award	Best Woman Storyteller,Other,Autre
WFCC Award - Best Actress,Best Actress,Meilleure actrice
WFCC Award - Best Documentary by or About Women,Best Documentary,Meilleur documentaire
WFCC Award - Best Female Action Hero,Best Actress,Meilleure actrice
WFCC Award - Best Foreign Film by or About Women,Other,Autre
WFCC Award - Best Movie About Women,Other,Autre
WFCC Award - Best Movie by a Woman,Other,Autre
WFCC Award - Best Screen Couple,Best Duo,Meilleur duo
WFCC Award - Best Woman Storyteller,Other,Autre
WFCC Award - Best Young Actress,Best Promising Actress,Meilleur espoir féminin
WFCC Award - Hall of Shame,Other,Autre
WGA Award (Screen) - Best Adapted Screenplay (Screen),Best Screenplay,Meilleur scénario
Winner,Other,Autre
Women's Empowerment,Other,Autre
Women's Work/Best Ensemble,Best Ensemble,Meilleure distribution
World Cinema,Other,Autre
World Cinema Documentary Special Jury Award,Best Documentary,Meilleur documentaire
World Fiction Award - Best Film,Best Film,Meilleur film
Worst Female Images in a Movie,Best Actress,Meilleure actrice
Worst Film,Other,Autre
Young Audience Award,Audience Award,Prix du public
Young British Performer of the Year,Best Promising Actor,Meilleur espoir masculin
Young British/Irish Performer,Best Promising Actor,Meilleur espoir masculin
Young British/Irish Performer of the Year,Best Promising Actor,Meilleur espoir masculin
Young Cineastes Award,Other,Autre
Young Jury Award [Genç Jüri Ödülü],Jury Award,Prix du jury
Young People's Jury Award - Best Short Film (Ages 9-13),Best Short Film,Meilleur court métrage
Youngster Jury Award,Jury Award,Prix du jury
Youth Jury Award,Jury Award,Prix du jury
Youth Jury Award - Best Film,Best Film,Meilleur film
Youth Jury Award - Official Section,Jury Award,Prix du jury
Zabaltegi-Tabakalera Award,Festival Award,Prix du festival
